gene_symbols,highly_variable,means,dispersions,dispersions_norm,mean,std
ENSG00000225350,1,4.244645e-05,3.6268337,1.3850218,8.432965e-06,0.0039320206
ENSG00000225399,1,0.00017642646,3.5333967,1.2805386,3.4976627e-05,0.0086706085
ENSG00000225420,1,0.023784304,3.549719,1.2987907,0.004344822,0.10080027
ENSG00000225519,1,0.00038463617,3.535677,1.2830883,7.294566e-05,0.012658274
ENSG00000225521,1,0.13431752,3.6577115,1.41955,0.033248927,0.24962376
ENSG00000225523,1,0.003734115,5.679314,3.6801488,0.00068921124,0.03663496
ENSG00000225572,1,0.0015655659,3.4523082,1.1898637,0.00028522927,0.025826722
ENSG00000225614,1,0.011605309,3.4607267,1.1992775,0.0028050088,0.07251541
ENSG00000225652,1,0.0002044847,3.5725462,1.3243163,3.3316417e-05,0.009164087
ENSG00000225698,1,0.033279255,7.899547,6.162861,0.0011967551,0.05972791
ENSG00000225886,1,0.014969385,3.7716484,1.5469567,0.0019161021,0.074937694
ENSG00000226163,1,0.0024649894,3.5359554,1.2833997,0.00037606657,0.032033853
ENSG00000226206,1,4.836921e-05,3.644096,1.4043248,9.2402e-06,0.004404297
ENSG00000226252,1,0.00025612945,3.681951,1.4466552,5.225851e-05,0.010586911
ENSG00000226288,1,5.5041437e-05,4.448788,2.3041484,7.247341e-06,0.0042775157
ENSG00000226321,1,0.008692199,3.6483147,1.4090424,0.0019498095,0.061755978
ENSG00000226334,1,0.03810501,3.860054,1.6458137,0.004634858,0.11959137
ENSG00000226352,1,0.0006240351,3.5855067,1.3388091,0.00017382823,0.017169997
ENSG00000226533,1,0.0016896825,3.415253,1.1484276,0.0002810175,0.02727153
ENSG00000226599,1,0.0015003306,3.4379053,1.1737579,0.00025535686,0.025434399
ENSG00000226660,1,1.8242601,8.416815,2.5459723,0.031367317,0.37654993
ENSG00000226673,1,0.0010224918,3.5588138,1.3089606,0.00015057827,0.02056347
ENSG00000226777,1,0.15740506,4.252943,2.0851502,0.04481275,0.28912508
ENSG00000226797,1,0.00070911937,3.4064698,1.1386062,0.00015036765,0.017813124
ENSG00000226868,1,0.00024172847,3.530371,1.277155,8.158143e-05,0.010321425
ENSG00000226876,1,0.0012294695,3.4234173,1.1575572,0.0002683245,0.023371682
ENSG00000226889,1,0.086237416,3.7068353,1.4744812,0.01379992,0.18752562
ENSG00000226935,1,0.00011216298,3.8150496,1.5954889,1.3818186e-05,0.006447249
ENSG00000226985,1,0.08400375,3.7453306,1.5175276,0.014655426,0.1928785
ENSG00000227028,1,0.10665219,3.841173,1.6247004,0.018320147,0.20697723
ENSG00000227071,1,0.0027005074,3.7136505,1.4821022,0.000620369,0.034425806
ENSG00000227117,1,0.021269733,3.4860816,1.2276298,0.0039217626,0.095327675
ENSG00000227143,1,2.103688e-05,4.0023623,1.804946,4.1866015e-06,0.002539299
ENSG00000227170,1,0.0012112774,3.672188,1.4357378,0.0002083948,0.022597572
ENSG00000227191,1,0.3307328,6.4714255,5.435597,0.08652832,0.3897966
ENSG00000227198,1,0.03899281,3.8101046,1.5899591,0.0051517547,0.1231335
ENSG00000227237,1,0.0018323554,3.8135312,1.5937909,0.0004389462,0.028081572
ENSG00000227269,1,9.1442336e-05,4.1189322,1.935297,1.226623e-05,0.005698395
ENSG00000227292,1,0.00040462092,3.5124288,1.2570918,7.386362e-05,0.013195238
ENSG00000227294,1,5.4952143e-05,3.4149086,1.1480427,1.3201214e-05,0.0045343647
ENSG00000227330,1,0.008101536,3.5795772,1.3321785,0.0016642723,0.05860097
ENSG00000227335,1,0.00042676125,5.979842,4.016206,5.1695435e-05,0.008885176
ENSG00000227459,1,3.7081863e-05,4.598132,2.4711485,2.122811e-06,0.0029328167
ENSG00000227477,1,0.0064621507,3.5433147,1.291629,0.0012393788,0.05250059
ENSG00000227550,1,0.02638961,7.8218412,6.0759683,0.0010968365,0.052724566
ENSG00000227591,1,0.08458795,4.4616947,2.3185813,0.01446944,0.17622995
ENSG00000227610,1,0.010781666,3.6900024,1.4556583,0.0018782872,0.06619315
ENSG00000227617,1,0.016375484,3.4307952,1.1658072,0.0028412016,0.08437833
ENSG00000227659,1,0.00019630864,3.6569285,1.4186745,2.4775203e-05,0.00872151
ENSG00000227741,1,0.01183332,3.433366,1.1686821,0.0031524505,0.073686704
ENSG00000227748,1,0.00020023226,3.852202,1.6370332,3.9432925e-05,0.009109483
ENSG00000227929,1,2.0680269e-05,3.73003,1.5004181,2.9028415e-06,0.002759749
ENSG00000227953,1,0.0025840453,3.4613986,1.2000287,0.00069782557,0.034851886
ENSG00000228035,1,5.9750433e-05,3.9832468,1.7835705,1.498407e-05,0.004681032
ENSG00000228086,1,0.043744545,3.5024917,1.24598,0.007874487,0.13712536
ENSG00000228113,1,0.026375597,3.6829824,1.4478084,0.004639171,0.10367715
ENSG00000228150,1,0.016240282,3.8214498,1.6026456,0.002149477,0.077180296
ENSG00000228157,1,0.0028741073,3.513237,1.2579956,0.0005199537,0.034523934
ENSG00000228162,1,0.07806686,3.4487467,1.1858811,0.019075872,0.19048145
ENSG00000228174,1,2.183189e-05,3.4115317,1.1442665,4.9052346e-06,0.0029989015
ENSG00000228208,1,0.0009834584,3.7581534,1.5318662,0.0002443217,0.02025183
ENSG00000228255,1,9.724464e-05,3.4405618,1.1767286,2.8648572e-05,0.006363396
ENSG00000228275,1,0.02095131,3.5622995,1.3128582,0.0034475825,0.09527898
ENSG00000228278,1,0.0021592705,3.5205152,1.2661343,0.00035070383,0.030103762
ENSG00000228323,1,0.1402741,3.7786517,1.554788,0.027348774,0.24267688
ENSG00000228325,1,0.00051850546,7.443813,5.6532493,1.9216977e-05,0.0064684846
ENSG00000228329,1,0.030926874,3.5074818,1.25156,0.0057685794,0.11517057
ENSG00000228384,1,0.0021355196,3.5044603,1.2481812,0.0005373044,0.031173732
ENSG00000228452,1,0.00030610643,3.5213976,1.2671208,5.714961e-05,0.011446285
ENSG00000228487,1,0.00048523673,3.716017,1.4847485,8.4107196e-05,0.01395487
ENSG00000228553,1,1.1101746e-05,3.597995,1.3527739,1.9283123e-06,0.0019562042
ENSG00000228634,1,0.0036637262,3.485797,1.2273115,0.0007127419,0.03994052
ENSG00000228716,1,0.2476576,3.7505038,1.5233122,0.05897696,0.34876105
ENSG00000228748,1,0.001904721,3.40464,1.1365601,0.00044111517,0.029207895
ENSG00000228787,1,3.3458782e-05,3.4731011,1.2131147,8.219902e-06,0.0038580783
ENSG00000228809,1,0.016624318,3.7899609,1.5674341,0.0024137318,0.08023263
ENSG00000228830,1,0.07963588,3.6629083,1.4253612,0.012280891,0.18177873
ENSG00000228843,1,0.017840479,3.6421561,1.4021555,0.0027360127,0.08477373
ENSG00000228919,1,0.004353565,3.7179997,1.4869654,0.000680538,0.04257136
ENSG00000229092,1,0.00029383926,6.941103,5.091108,9.344241e-06,0.0050789975
ENSG00000229118,1,0.0068272054,3.4085224,1.1409013,0.0011861696,0.054511115
ENSG00000229124,1,1.7734052,6.0037894,1.236513,0.21000424,0.8224837
ENSG00000229154,1,0.0028914034,3.6127179,1.3692371,0.00048697944,0.03458065
ENSG00000229190,1,0.001788564,3.5109599,1.2554492,0.00035758616,0.027725905
ENSG00000229214,1,0.0002849165,3.5464597,1.2951459,4.329872e-05,0.010696717
ENSG00000229372,1,0.0010242492,3.496137,1.238874,0.00019338758,0.021245357
ENSG00000229373,1,0.00058350683,3.4129353,1.145836,0.00011702252,0.016018212
ENSG00000229393,1,6.351546e-05,3.4675763,1.2069368,1.4753199e-05,0.0052152877
ENSG00000229402,1,0.0005759444,3.4136622,1.1466489,0.00010557546,0.015638001
ENSG00000229502,1,0.019864744,3.5293314,1.2759928,0.003591934,0.09168419
ENSG00000229565,1,6.350753e-05,4.486888,2.3467526,1.574071e-05,0.0043397374
ENSG00000229569,1,3.3947403e-05,4.01911,1.8236738,3.711504e-06,0.003367738
ENSG00000229672,1,0.0044349125,3.5295012,1.2761824,0.0009654154,0.04430137
ENSG00000229766,1,0.18117827,4.092444,1.905677,0.02083711,0.2578937
ENSG00000229769,1,0.5999565,8.375338,5.945186,0.0054762685,0.15758537
ENSG00000229780,1,0.0004737785,3.4888363,1.2307101,8.741714e-05,0.0142969545
ENSG00000229851,1,0.0030079982,3.432929,1.1681935,0.00051614596,0.036380623
ENSG00000229873,1,0.0046923286,3.5249302,1.2710712,0.0009480599,0.045401383
ENSG00000229896,1,0.0027275314,3.454128,1.1918987,0.00058229006,0.03386381
ENSG00000229915,1,0.0027344343,3.5559862,1.3057985,0.00078894565,0.0353606
ENSG00000229981,1,0.016191754,3.4333122,1.1686218,0.0030204714,0.08408324
ENSG00000229990,1,0.0038497103,3.519279,1.2647518,0.0007171976,0.040678605
ENSG00000230020,1,0.00012403958,3.8056824,1.5850141,1.9165085e-05,0.006977114
ENSG00000230099,1,1.4915429,8.411163,2.4753823,0.022796854,0.31984165
ENSG00000230115,1,5.7081208e-05,3.505878,1.2497665,9.692372e-06,0.0050010257
ENSG00000230212,1,0.07084933,3.7525506,1.5256011,0.010038601,0.16723771
ENSG00000230257,1,0.002170321,3.4186783,1.1522579,0.00045689047,0.03160218
ENSG00000230322,1,0.016164752,3.4779963,1.2185887,0.0034898128,0.084970824
ENSG00000230408,1,0.016301481,3.4077404,1.1400268,0.0035472515,0.08617585
ENSG00000230499,1,0.0015359673,3.6852074,1.4502964,0.00026740617,0.025246127
ENSG00000230525,1,2.3829407e-05,3.7061658,1.4737326,7.419398e-06,0.0027657095
ENSG00000230573,1,8.620573e-05,4.6154523,2.4905162,9.033543e-06,0.005104658
ENSG00000230627,1,0.00011148163,3.4556448,1.1935947,1.840297e-05,0.0067594894
ENSG00000230657,1,9.675447e-05,3.93325,1.7276629,1.6415874e-05,0.006256047
ENSG00000230730,1,0.0024921477,3.4354532,1.171016,0.0005229644,0.032998305
ENSG00000230733,1,0.0015198657,3.4518847,1.1893902,0.00023871951,0.025392458
ENSG00000230908,1,3.5770667e-05,3.811093,1.5910646,8.9566865e-06,0.0035332886
ENSG00000230962,1,3.4473902e-05,3.786875,1.5639834,7.7031755e-06,0.003503808
ENSG00000230991,1,1.717126e-05,4.0299807,1.835829,2.4548053e-06,0.0022604028
ENSG00000231040,1,0.0037953642,3.6099696,1.3661638,0.0010261993,0.041551072
ENSG00000231062,1,0.0005306183,3.6530163,1.4142996,8.220706e-05,0.014643131
ENSG00000231114,1,2.61301e-05,3.9984846,1.8006096,3.552323e-06,0.0029058508
ENSG00000231119,1,7.760293e-05,4.102099,1.9164735,1.8106597e-05,0.0051830662
ENSG00000231160,1,0.32570347,3.7758927,1.5782175,0.06882559,0.3876879
ENSG00000231165,1,3.924663e-05,3.9768672,1.7764366,5.4182237e-06,0.0037240975
ENSG00000231231,1,0.00014559126,3.51314,1.257887,3.6952e-05,0.00799435
ENSG00000231292,1,0.0003353141,3.5677722,1.3189778,0.000104333434,0.012343161
ENSG00000231364,1,0.003232203,3.6837797,1.4486998,0.0005699883,0.036154106
ENSG00000231420,1,4.5441066e-05,4.3930917,2.2418678,8.0839645e-06,0.0035302362
ENSG00000231475,1,0.11371426,7.752419,5.9983387,0.0055116117,0.121420175
ENSG00000231482,1,0.0022141985,3.749311,1.5219784,0.00055371836,0.030264996
ENSG00000231560,1,0.0044276994,3.6657732,1.4285647,0.0006143926,0.04181245
ENSG00000231651,1,0.0021298989,4.0754633,1.8866891,0.0003514761,0.028256265
ENSG00000231880,1,0.027168835,3.6912475,1.4570507,0.0037016938,0.10451202
ENSG00000231969,1,0.029450264,3.545737,1.2943379,0.006131845,0.11444224
ENSG00000232043,1,0.013560161,3.6389122,1.3985282,0.0022334682,0.07464848
